,open,close,high,low,volume,money
2021/8/20,4817.49,4769.27,4835.15,4720.83,17763581000,4.05E+11
2021/8/23,4777.73,4835.88,4843.82,4764.01,16757909300,3.90E+11
2021/8/24,4844.59,4888.39,4906.2,4842.75,19788316300,4.17E+11
2021/8/25,4890.52,4898.16,4899.77,4865.76,18944801600,3.72E+11
2021/8/26,4892.2,4801.61,4892.2,4798.7,19761738700,3.69E+11
2021/8/27,4794.97,4827.04,4863.47,4793.59,18331021100,3.68E+11
2021/8/30,4847.03,4813.27,4849.16,4787.2,21963575700,4.77E+11
2021/8/31,4803.09,4805.61,4821.76,4740.75,23511865800,4.61E+11
2021/9/1,4804.69,4869.46,4906.4,4763.3,32672108000,5.69E+11
2021/9/2,4865.82,4869.41,4892.7,4845.62,26785801300,4.66E+11
2021/9/3,4875.07,4843.06,4886.55,4828.7,26809189600,4.66E+11
2021/9/6,4841.06,4933.73,4944.45,4837.79,24050724500,4.53E+11
2021/9/7,4932.98,4992.83,5005.96,4915.61,24417851900,4.18E+11
2021/9/8,4986.8,4972.13,5013.98,4955.89,26461531500,4.29E+11
2021/9/9,4952.49,4970.01,4970.15,4929.95,25653021700,4.02E+11
2021/9/10,4967.98,5013.52,5042.8,4962.37,28830435200,4.73E+11
2021/9/13,5006.77,4991.66,5029.72,4964.96,24991529800,4.33E+11
2021/9/14,4989.83,4917.16,5000.98,4907.32,24559040200,4.17E+11
2021/9/15,4903.85,4867.32,4903.85,4843.12,18798473000,3.63E+11
2021/9/16,4866.79,4807.7,4879.53,4806.14,21675209900,3.94E+11
2021/9/17,4797.11,4855.94,4857.96,4786.09,20195812700,3.60E+11
2021/9/22,4770.73,4821.77,4830.85,4765.23,19122037600,3.12E+11
2021/9/23,4848.22,4853.2,4877.34,4837.56,22815106400,3.62E+11
2021/9/24,4845.64,4849.43,4897.06,4838.54,20769329000,3.62E+11
2021/9/27,4870.85,4877.37,4922.56,4852.2,21596703000,4.26E+11
2021/9/28,4869.08,4883.83,4901.31,4846.63,17689088000,3.21E+11
2021/9/29,4846.02,4833.93,4868.07,4799.88,18817136600,3.32E+11
2021/9/30,4843.95,4866.38,4876.07,4843.95,14611389600,2.83E+11
2021/10/8,4915.73,4929.94,4937.09,4891.62,16896807700,3.44E+11
2021/10/11,4941.29,4936.19,4983.73,4930.71,16351162400,3.15E+11
2021/10/12,4920.66,4883.84,4925.49,4840.77,16807933700,2.99E+11
2021/10/13,4880.14,4940.11,4953.37,4869.83,13114281300,2.80E+11
2021/10/14,4934.26,4913.61,4953.92,4903.25,11955701300,2.49E+11
2021/10/15,4896.56,4932.11,4939.82,4881.01,14282200100,3.01E+11
2021/10/18,4922.51,4874.78,4922.51,4844.94,14124519900,3.03E+11
2021/10/19,4869.39,4922.72,4928.14,4868.81,13526649300,2.83E+11
2021/10/20,4926.77,4910.18,4944.02,4898.37,14153318300,2.80E+11
2021/10/21,4914.74,4928.02,4946.18,4893.85,14889815400,2.75E+11
2021/10/22,4934.87,4959.73,4989.89,4934.87,14392622800,2.89E+11
2021/10/25,4940.9,4979.52,4981.65,4930.11,14186149000,2.99E+11
2021/10/26,4983.24,4963.1,5002.57,4953.48,14088894300,3.02E+11
2021/10/27,4949.23,4898.16,4949.23,4884.94,14711159300,2.99E+11
2021/10/28,4882.59,4864.14,4898.66,4846.28,15664947200,3.17E+11
2021/10/29,4861.27,4908.77,4908.77,4855.76,15988735300,3.69E+11
2021/11/1,4878.13,4890.69,4908.21,4858.25,17158397400,3.80E+11
2021/11/2,4886.18,4839.85,4911.23,4797.9,18543768800,3.86E+11
2021/11/3,4835.81,4821.11,4858.71,4804.37,14276382000,3.02E+11
2021/11/4,4841.09,4868.74,4873.94,4834.74,13259297000,3.09E+11
2021/11/5,4858.9,4842.35,4889.68,4841.74,14778935900,3.12E+11
2021/11/8,4841.15,4848.18,4866.08,4827.69,13739826400,2.96E+11
2021/11/9,4858.25,4846.74,4870.79,4818.54,11837552600,2.62E+11
2021/11/10,4832.8,4821.19,4832.8,4754,13511817900,3.01E+11
2021/11/11,4814.77,4898.65,4898.65,4809.11,16048486300,3.24E+11
2021/11/12,4902.93,4888.37,4909.08,4875.35,13266296900,2.72E+11
2021/11/15,4894.41,4882.38,4906.33,4863.4,12182314900,2.73E+11
2021/11/16,4880.9,4883.32,4915.37,4876.5,12725440600,2.84E+11
2021/11/17,4883.25,4885.75,4891.52,4864.52,10845922300,2.46E+11
2021/11/18,4871.42,4837.62,4871.42,4830.41,11448056500,2.44E+11
2021/11/19,4832.06,4890.06,4892.81,4829.57,12719831200,2.66E+11
2021/11/22,4895.39,4912.4,4919,4893.27,13809283600,3.16E+11
